Tempo (us) 	 Tensione (mv)
-44.177199	-0.667745
-44.169199	0.209967
-44.161199	0.000000
-44.153199	-0.284432
-44.145199	0.173040
-44.137199	-0.099185
-44.129199	0.024720
-44.121199	-0.303049
-44.113199	0.154424
-44.105199	0.278024
-44.097199	-0.568865
-44.089199	-0.432752
-44.081199	0.209967
-44.073199	-0.117496
-44.065199	-0.006409
-44.057199	0.654927
-44.049199	-1.186865
-44.041199	0.259407
-44.033199	-0.717185
-44.025199	0.679647
-44.017199	-0.086673
-44.009199	-0.383313
-44.001199	-0.173345
-43.993199	-0.142216
-43.985199	0.222480
-43.977199	-0.315256
-43.969199	0.111087
-43.961199	-0.148625
-43.953199	0.000000
-43.945199	-0.556352
-43.937199	0.160527
-43.929199	0.487991
-43.921199	0.278024
-43.913199	0.265511
-43.905199	-0.253609
-43.897199	0.209967
-43.889199	0.846583
-43.881199	-0.673849
-43.873199	0.562151
-43.865199	0.012207
-43.857199	0.129704
-43.849199	0.123600
-43.841199	-0.148625
-43.833199	0.500503
-43.825199	0.753807
-43.817199	-0.457472
-43.809199	0.135807
-43.801199	0.444960
-43.793199	-0.717185
-43.785199	-0.698569
-43.777199	-0.272225
-43.769199	-0.006409
-43.761199	-0.599689
-43.753199	-0.043336
-43.745199	0.506607
-43.737199	-0.408032
-43.729199	-0.284432
-43.721199	0.383007
-43.713199	0.346080
-43.705199	0.451064
-43.697199	-0.494705
-43.689199	-0.111393
-43.681199	-0.025025
-43.673199	-0.222785
-43.665199	0.024720
-43.657199	-0.265816
-43.649199	-0.488296
-43.641199	0.036927
-43.633199	-0.198065
-43.625199	0.055544
-43.617199	-0.284432
-43.609199	-0.272225
-43.601199	0.308847
-43.593199	0.036927
-43.585199	0.036927
-43.577199	-0.185553
-43.569199	0.098880
-43.561199	-0.136112
-43.553199	-0.204169
-43.545199	-0.339976
-43.537199	0.006104
-43.529199	-0.086673
-43.521199	-0.198065
-43.513199	0.049440
-43.505199	-0.525529
-43.497199	-0.185553
-43.489199	-0.111393
-43.481199	-0.426649
-43.473199	0.704367
-43.465199	-1.007721
-43.457199	0.463271
-43.449199	-0.012513
-43.441199	-0.754112
-43.433199	0.512711
-43.425199	-0.179449
-43.417199	0.179144
-43.409199	-0.191656
-43.401199	-0.432752
-43.393199	0.247200
-43.385199	-0.086673
-43.377199	-0.117496
-43.369199	0.420240
-43.361199	-0.272225
-43.353199	-0.265816
-43.345199	-0.055849
-43.337199	-0.216376
-43.329199	0.506607
-43.321199	-0.198065
-43.313199	-0.574969
-43.305199	-0.049745
-43.297199	-0.241096
-43.289199	0.000000
-43.281199	-0.006409
-43.273199	-0.043336
-43.265199	0.111087
-43.257199	-0.389416
-43.249199	-0.222785
-43.241199	-0.253609
-43.233199	0.148320
-43.225199	-0.086673
-43.217199	-0.296945
-43.209199	-0.123905
-43.201199	-0.068056
-43.193199	0.494400
-43.185199	0.012207
-43.177199	0.568560
-43.169199	-0.476089
-43.161199	-0.964385
-43.153199	-0.383313
-43.145199	-0.234992
-43.137199	0.271920
-43.129199	-0.612201
-43.121199	-0.185553
-43.113199	-0.105289
-43.105199	-0.074465
-43.097199	-0.142216
-43.089199	0.098880
-43.081199	-0.272225
