Tempo (us) 	 Tensione (mv)
-46.646251	-0.026200
-46.638251	-0.398600
-46.630251	-0.447400
-46.622251	0.571900
-46.614251	0.071400
-46.606251	0.199600
-46.598251	0.047000
-46.590251	-0.349700
-46.582251	0.047000
-46.574251	-0.545100
-46.566251	-0.172700
-46.558251	-0.123900
-46.550251	-0.123900
-46.542251	-0.075100
-46.534251	-0.447400
-46.526251	-0.294800
-46.518251	0.126300
-46.510251	-0.319200
-46.502251	-0.148300
-46.494251	0.248400
-46.486251	-0.001800
-46.478251	0.199600
-46.470251	-0.172700
-46.462251	-0.246000
-46.454251	-0.868600
-46.446251	0.248400
-46.438251	-0.221600
-46.430251	-0.447400
-46.422251	0.175200
-46.414251	-0.319200
-46.406251	0.047000
-46.398251	0.095800
-46.390251	-0.246000
-46.382251	-0.221600
-46.374251	0.547500
-46.366251	-0.294800
-46.358251	-0.197100
-46.350251	-0.667100
-46.342251	-0.423000
-46.334251	-0.050700
-46.326251	0.047000
-46.318251	0.047000
-46.310251	0.199600
-46.302251	-0.294800
-46.294251	0.175200
-46.286251	-0.819700
-46.278251	-0.075100
-46.270251	-0.075100
-46.262251	0.248400
-46.254251	0.047000
-46.246251	-0.075100
-46.238251	0.272800
-46.230251	0.199600
-46.222251	-0.770900
-46.214251	-0.001800
-46.206251	-0.270400
-46.198251	0.175200
-46.190251	0.095800
-46.182251	-0.667100
-46.174251	-0.172700
-46.166251	-0.270400
-46.158251	0.095800
-46.150251	-0.618300
-46.142251	0.346100
-46.134251	-0.123900
-46.126251	0.071400
-46.118251	-0.246000
-46.110251	-0.099500
-46.102251	-0.001800
-46.094251	-0.197100
-46.086251	-0.099500
-46.078251	-0.520600
-46.070251	0.443700
-46.062251	-0.294800
-46.054251	-0.447400
-46.046251	-0.716000
-46.038251	0.321700
-46.030251	0.394900
-46.022251	-0.172700
-46.014251	-0.197100
-46.006251	-0.795300
-45.998251	-0.026200
-45.990251	-0.319200
-45.982251	0.175200
-45.974251	-0.496200
-45.966251	0.071400
-45.958251	-0.001800
-45.950251	0.126300
-45.942251	0.443700
-45.934251	-0.197100
-45.926251	-0.270400
-45.918251	0.272800
-45.910251	-0.026200
-45.902251	-0.893000
-45.894251	0.047000
-45.886251	-0.398600
-45.878251	-0.123900
-45.870251	-0.148300
-45.862251	-0.618300
-45.854251	-0.520600
-45.846251	-0.099500
-45.838251	0.175200
-45.830251	-0.026200
-45.822251	-0.569500
-45.814251	-0.050700
-45.806251	-0.642700
-45.798251	-0.197100
-45.790251	0.199600
-45.782251	-0.520600
-45.774251	-0.618300
-45.766251	-0.099500
-45.758251	-0.374200
-45.750251	-0.001800
-45.742251	-0.520600
-45.734251	0.199600
-45.726251	0.071400
-45.718251	-0.398600
-45.710251	-1.192000
-45.702251	0.047000
-45.694251	-0.990600
-45.686251	-0.172700
-45.678251	0.248400
-45.670251	-0.270400
-45.662251	-0.545100
-45.654251	-0.075100
-45.646251	0.346100
-45.638251	-0.319200
-45.630251	-0.099500
-45.622251	-0.294800
-45.614251	-0.197100
-45.606251	-0.270400
-45.598251	0.248400
-45.590251	0.047000
-45.582251	-0.374200
-45.574251	0.272800
-45.566251	-0.770900
-45.558251	-0.520600
-45.550251	0.126300
-45.542251	-0.123900
-45.534251	-0.868600
-45.526251	-0.075100
-45.518251	-0.716000
-45.510251	-0.148300
-45.502251	0.517000
-45.494251	-0.075100
-45.486251	-0.075100
-45.478251	-0.197100
-45.470251	0.346100
-45.462251	0.095800
-45.454251	-0.423000
-45.446251	-0.148300
-45.438251	0.346100
-45.430251	-0.123900
-45.422251	-0.618300
-45.414251	0.547500
-45.406251	-0.050700
-45.398251	-0.221600
-45.390251	-0.691600
-45.382251	0.175200
-45.374251	0.394900
-45.366251	0.346100
-45.358251	-0.398600
-45.350251	-0.001800
-45.342251	-0.001800
-45.334251	-0.545100
-45.326251	-0.001800
-45.318251	0.199600
-45.310251	0.047000
-45.302251	-0.795300
-45.294251	-0.050700
-45.286251	-0.349700
-45.278251	-0.050700
-45.270251	-0.270400
-45.262251	0.346100
-45.254251	0.095800
-45.246251	0.370500
-45.238251	0.468100
-45.230251	-0.026200
-45.222251	-0.026200
-45.214251	-0.374200
-45.206251	-0.172700
-45.198251	-0.398600
-45.190251	-1.112700
-45.182251	-0.868600
-45.174251	0.547500
-45.166251	0.321700
-45.158251	0.095800
-45.150251	-0.569500
-45.142251	-0.246000
-45.134251	-0.349700
-45.126251	-0.246000
-45.118251	-0.374200
-45.110251	0.517000
-45.102251	-0.001800
-45.094251	-0.221600
-45.086251	-0.447400
-45.078251	0.394900
-45.070251	-0.496200
-45.062251	-0.374200
-45.054251	-0.618300
-45.046251	-0.246000
-45.038251	0.047000
-45.030251	-0.496200
-45.022251	0.224000
-45.014251	-0.740400
-45.006251	0.199600
-44.998251	-0.447400
-44.990251	-0.246000
-44.982251	-0.050700
-44.974251	-0.075100
-44.966251	-0.545100
-44.958251	-0.099500
-44.950251	0.547500
-44.942251	-0.593900
-44.934251	-0.001800
-44.926251	-0.893000
-44.918251	0.175200
-44.910251	-0.545100
-44.902251	-0.246000
-44.894251	0.767200
-44.886251	-0.917400
-44.878251	-0.123900
-44.870251	0.370500
-44.862251	-0.496200
-44.854251	-0.349700
-44.846251	-0.691600
-44.838251	0.150800
-44.830251	-0.447400
-44.822251	0.370500
-44.814251	0.150800
-44.806251	-0.496200
-44.798251	0.071400
-44.790251	0.022600
-44.782251	0.297200
-44.774251	-0.172700
-44.766251	-0.001800
-44.758251	-0.423000
-44.750251	0.150800
-44.742251	-0.447400
-44.734251	-0.593900
-44.726251	-0.294800
-44.718251	0.150800
-44.710251	0.669600
-44.702251	-0.447400
-44.694251	-0.770900
-44.686251	0.248400
-44.678251	-0.471800
-44.670251	0.150800
-44.662251	-0.740400
-44.654251	-0.099500
-44.646251	-0.001800
-44.638251	0.199600
-44.630251	-0.050700
-44.622251	-0.471800
-44.614251	-0.691600
-44.606251	0.645200
-44.598251	-0.050700
-44.590251	-0.050700
-44.582251	-0.545100
-44.574251	-0.398600
-44.566251	0.370500
-44.558251	0.419300
-44.550251	0.443700
-44.542251	0.370500
-44.534251	-0.148300
-44.526251	-0.294800
-44.518251	-0.099500
-44.510251	-0.123900
-44.502251	-0.148300
-44.494251	-0.246000
-44.486251	-0.966200
-44.478251	0.346100
-44.470251	0.071400
-44.462251	-0.520600
-44.454251	-0.050700
-44.446251	-0.691600
-44.438251	-0.374200
-44.430251	-0.716000
-44.422251	-0.423000
-44.414251	0.126300
-44.406251	-0.349700
-44.398251	-0.221600
-44.390251	0.321700
-44.382251	-0.844100
-44.374251	-0.270400
-44.366251	-0.667100
-44.358251	0.095800
-44.350251	0.297200
-44.342251	-0.294800
-44.334251	-0.374200
-44.326251	0.419300
-44.318251	-0.496200
-44.310251	0.517000
-44.302251	-0.423000
-44.294251	-0.148300
-44.286251	-0.221600
-44.278251	-0.294800
-44.270251	0.022600
-44.262251	0.126300
-44.254251	-0.026200
-44.246251	0.071400
-44.238251	-0.520600
-44.230251	-0.099500
-44.222251	0.297200
-44.214251	-0.319200
-44.206251	0.742800
-44.198251	-0.471800
-44.190251	-0.001800
-44.182251	-0.123900
-44.174251	-0.447400
-44.166251	0.199600
-44.158251	-0.667100
-44.150251	0.126300
-44.142251	0.022600
-44.134251	-0.172700
-44.126251	0.517000
-44.118251	0.175200
-44.110251	0.071400
-44.102251	-0.294800
-44.094251	-0.221600
-44.086251	-0.075100
-44.078251	0.492600
-44.070251	-0.349700
-44.062251	0.150800
-44.054251	0.419300
-44.046251	-0.423000
-44.038251	0.468100
-44.030251	-1.607100
-44.022251	0.694000
-44.014251	-0.819700
-44.006251	0.571900
-43.998251	0.126300
-43.990251	-0.447400
-43.982251	0.095800
-43.974251	-0.667100
-43.966251	-0.349700
-43.958251	-0.398600
-43.950251	-1.161500
-43.942251	-0.075100
-43.934251	0.071400
-43.926251	-0.050700
-43.918251	0.297200
-43.910251	-0.618300
-43.902251	-0.941800
-43.894251	-0.270400
-43.886251	-0.270400
-43.878251	0.645200
-43.870251	-0.123900
-43.862251	-0.374200
-43.854251	-0.026200
-43.846251	-0.172700
-43.838251	-0.270400
-43.830251	0.321700
-43.822251	-0.349700
-43.814251	-0.123900
-43.806251	0.199600
-43.798251	-0.795300
-43.790251	-0.398600
-43.782251	0.095800
-43.774251	-0.172700
-43.766251	0.248400
-43.758251	0.346100
-43.750251	-0.148300
-43.742251	-0.075100
-43.734251	-0.001800
-43.726251	-0.050700
-43.718251	-0.319200
-43.710251	-0.545100
-43.702251	-0.423000
-43.694251	0.071400
-43.686251	-0.423000
-43.678251	-0.423000
-43.670251	0.150800
-43.662251	0.199600
-43.654251	-0.471800
-43.646251	-0.496200
-43.638251	-0.099500
-43.630251	-0.001800
-43.622251	-0.050700
-43.614251	0.370500
-43.606251	0.022600
-43.598251	-0.221600
-43.590251	-0.099500
-43.582251	-0.246000
-43.574251	-0.075100
-43.566251	-0.471800
-43.558251	-0.447400
-43.550251	-1.112700
-43.542251	-0.246000
-43.534251	-0.319200
-43.526251	-0.294800
-43.518251	0.150800
-43.510251	0.394900
-43.502251	-0.374200
-43.494251	-0.294800
-43.486251	-0.667100
-43.478251	-0.398600
-43.470251	0.126300
-43.462251	0.071400
-43.454251	-0.026200
-43.446251	0.321700
-43.438251	0.547500
-43.430251	-1.289700
-43.422251	-0.593900
-43.414251	0.889300
-43.406251	-0.148300
-43.398251	-0.172700
-43.390251	0.694000
-43.382251	-0.642700
-43.374251	-0.520600
-43.366251	0.419300
-43.358251	-0.374200
-43.350251	-0.099500
-43.342251	0.517000
-43.334251	-0.349700
-43.326251	0.175200
-43.318251	0.596300
-43.310251	0.095800
-43.302251	-0.398600
-43.294251	-0.716000
-43.286251	0.199600
-43.278251	-0.423000
-43.270251	-0.050700
-43.262251	-0.618300
-43.254251	0.022600
-43.246251	-0.374200
-43.238251	-0.270400
-43.230251	0.419300
-43.222251	0.346100
-43.214251	-0.172700
-43.206251	-0.691600
-43.198251	-0.545100
-43.190251	-0.319200
-43.182251	-0.374200
-43.174251	-0.770900
-43.166251	-0.172700
-43.158251	0.297200
-43.150251	0.175200
-43.142251	-0.496200
-43.134251	0.321700
-43.126251	-0.447400
-43.118251	-0.398600
-43.110251	-0.050700
-43.102251	0.297200
-43.094251	-0.917400
-43.086251	-0.545100
-43.078251	-0.349700
-43.070251	-0.795300
-43.062251	0.022600
-43.054251	0.272800
-43.046251	-0.593900
-43.038251	-0.050700
-43.030251	-0.172700
-43.022251	-0.221600
-43.014251	-0.447400
-43.006251	-0.374200
-42.998251	-0.123900
-42.990251	-0.593900
-42.982251	-0.398600
-42.974251	-0.099500
-42.966251	-0.593900
-42.958251	-0.270400
-42.950251	-0.197100
-42.942251	-0.545100
-42.934251	-0.197100
-42.926251	-0.423000
-42.918251	-0.374200
-42.910251	-0.050700
-42.902251	-0.374200
-42.894251	-0.050700
-42.886251	-0.447400
-42.878251	-0.545100
-42.870251	0.224000
-42.862251	-0.197100
-42.854251	-0.221600
-42.846251	0.443700
-42.838251	0.346100
-42.830251	-0.423000
-42.822251	-0.246000
-42.814251	0.224000
-42.806251	-0.246000
-42.798251	-0.618300
-42.790251	-0.246000
-42.782251	0.394900
-42.774251	-0.520600
-42.766251	-0.569500
-42.758251	-0.050700
-42.750251	-0.050700
-42.742251	-0.795300
-42.734251	-0.197100
-42.726251	0.370500
-42.718251	-0.319200
-42.710251	0.175200
-42.702251	-0.148300
-42.694251	-0.319200
-42.686251	-0.246000
-42.678251	-0.197100
-42.670251	0.224000
-42.662251	-0.618300
-42.654251	-0.593900
-42.646251	0.297200
-42.638251	-0.099500
-42.630251	0.248400
-42.622251	-0.099500
-42.614251	-0.398600
-42.606251	0.517000
-42.598251	-0.075100
-42.590251	-0.294800
-42.582251	-0.148300
-42.574251	-0.270400
-42.566251	-0.148300
-42.558251	-0.520600
-42.550251	-0.496200
-42.542251	-0.050700
-42.534251	-0.423000
-42.526251	-0.374200
-42.518251	0.370500
-42.510251	-0.593900
-42.502251	0.620700
-42.494251	-0.319200
-42.486251	-0.398600
-42.478251	-0.667100
-42.470251	0.620700
-42.462251	-0.520600
-42.454251	-0.716000
-42.446251	-0.471800
-42.438251	-0.001800
-42.430251	0.492600
-42.422251	0.767200
-42.414251	-0.026200
-42.406251	0.571900
-42.398251	0.394900
-42.390251	-0.123900
-42.382251	-2.003800
-42.374251	0.938100
-42.366251	-0.893000
-42.358251	-0.593900
-42.350251	-0.099500
-42.342251	0.913700
-42.334251	-0.075100
-42.326251	-0.246000
-42.318251	-0.716000
-42.310251	0.095800
-42.302251	-0.496200
-42.294251	-0.868600
-42.286251	0.370500
-42.278251	0.126300
-42.270251	-0.667100
-42.262251	-0.319200
-42.254251	-0.716000
-42.246251	0.742800
-42.238251	-0.520600
-42.230251	-1.265300
-42.222251	-0.123900
-42.214251	-0.075100
-42.206251	-0.294800
-42.198251	-0.795300
-42.190251	-0.716000
-42.182251	-0.001800
-42.174251	-0.099500
-42.166251	0.071400
-42.158251	0.394900
-42.150251	-0.001800
-42.142251	-0.569500
-42.134251	-0.819700
-42.126251	0.126300
-42.118251	-0.001800
-42.110251	-0.050700
-42.102251	-0.374200
-42.094251	-0.770900
-42.086251	-0.026200
-42.078251	-0.001800
-42.070251	-0.569500
-42.062251	0.297200
-42.054251	-0.496200
-42.046251	-0.795300
-42.038251	0.126300
-42.030251	-0.819700
-42.022251	-0.294800
-42.014251	-0.642700
-42.006251	-0.001800
-41.998251	-0.246000
-41.990251	-0.026200
-41.982251	-0.795300
-41.974251	0.248400
-41.966251	-0.398600
-41.958251	0.346100
-41.950251	0.321700
-41.942251	-0.447400
-41.934251	-0.075100
-41.926251	-0.221600
-41.918251	-0.319200
-41.910251	-0.075100
-41.902251	0.047000
-41.894251	-0.294800
-41.886251	0.022600
-41.878251	-0.246000
-41.870251	-0.423000
-41.862251	-0.148300
-41.854251	-0.270400
-41.846251	0.175200
-41.838251	-0.148300
-41.830251	-0.148300
-41.822251	-0.221600
-41.814251	-0.026200
-41.806251	0.150800
-41.798251	-0.545100
-41.790251	-0.050700
-41.782251	-0.246000
-41.774251	-0.349700
-41.766251	0.071400
-41.758251	0.175200
-41.750251	0.547500
-41.742251	0.718400
-41.734251	-0.795300
-41.726251	-0.026200
-41.718251	0.419300
-41.710251	-0.618300
-41.702251	-0.270400
-41.694251	-0.172700
-41.686251	-0.593900
-41.678251	-0.123900
-41.670251	-0.868600
-41.662251	0.645200
-41.654251	0.645200
-41.646251	-0.795300
-41.638251	0.492600
-41.630251	-0.148300
-41.622251	0.047000
-41.614251	-0.050700
-41.606251	-0.795300
-41.598251	0.224000
-41.590251	-0.471800
-41.582251	-0.148300
-41.574251	-0.197100
-41.566251	0.224000
-41.558251	0.346100
-41.550251	-0.148300
-41.542251	-0.270400
-41.534251	-0.197100
-41.526251	0.571900
-41.518251	-0.075100
-41.510251	-0.050700
-41.502251	-0.050700
-41.494251	-0.221600
-41.486251	-0.319200
-41.478251	0.370500
-41.470251	0.272800
-41.462251	-0.374200
-41.454251	-0.374200
-41.446251	-0.050700
-41.438251	-0.001800
-41.430251	-0.545100
-41.422251	-0.026200
-41.414251	-0.026200
-41.406251	-0.123900
-41.398251	-0.001800
-41.390251	-0.026200
-41.382251	0.126300
-41.374251	-0.123900
-41.366251	-0.398600
-41.358251	0.272800
-41.350251	0.047000
-41.342251	-0.123900
-41.334251	-0.319200
-41.326251	-0.075100
-41.318251	-0.050700
-41.310251	-0.050700
-41.302251	-0.569500
-41.294251	-0.349700
-41.286251	-0.148300
-41.278251	-0.520600
-41.270251	-0.593900
-41.262251	0.095800
-41.254251	0.022600
-41.246251	-0.374200
-41.238251	0.468100
-41.230251	-0.172700
-41.222251	0.047000
-41.214251	-0.075100
-41.206251	0.443700
-41.198251	-0.319200
-41.190251	-0.893000
-41.182251	-0.398600
-41.174251	-0.172700
-41.166251	-0.172700
-41.158251	0.071400
-41.150252	-0.593900
-41.142252	0.126300
-41.134251	-0.075100
-41.126252	-0.099500
-41.118251	-0.172700
-41.110251	0.394900
-41.102252	-0.246000
-41.094251	-0.447400
-41.086252	-0.123900
-41.078252	0.199600
-41.070251	-0.221600
-41.062252	-0.893000
-41.054251	-0.075100
-41.046251	-0.050700
-41.038252	-0.197100
-41.030251	0.443700
-41.022252	-0.026200
-41.014252	-0.471800
-41.006251	-0.050700
-40.998252	-0.123900
-40.990251	0.547500
-40.982251	-0.172700
-40.974252	-0.374200
-40.966251	0.224000
-40.958252	-0.691600
-40.950252	-0.001800
-40.942251	-0.545100
-40.934252	-0.374200
-40.926251	-0.001800
-40.918251	0.199600
-40.910252	-0.349700
-40.902251	0.175200
-40.894252	-0.050700
-40.886252	-0.001800
-40.878251	-0.520600
-40.870252	-0.319200
-40.862251	-0.001800
-40.854251	-0.197100
-40.846252	0.095800
-40.838251	0.175200
-40.830252	-0.026200
-40.822252	0.571900
-40.814251	-0.447400
-40.806252	-0.197100
-40.798252	0.022600
-40.790252	0.047000
-40.782252	-0.221600
-40.774252	0.224000
-40.766252	-0.197100
-40.758252	-0.294800
-40.750252	-0.294800
-40.742252	0.224000
-40.734252	-0.545100
-40.726252	0.199600
-40.718252	-1.015100
-40.710252	0.370500
-40.702252	-0.123900
-40.694252	0.297200
-40.686252	0.346100
-40.678252	0.047000
-40.670252	-0.618300
-40.662252	-0.050700
-40.654252	-0.795300
-40.646252	-0.001800
-40.638252	-0.197100
-40.630252	-0.246000
-40.622252	0.248400
-40.614252	-0.569500
-40.606252	0.071400
-40.598252	0.022600
-40.590252	-0.246000
-40.582252	-0.593900
-40.574252	-0.050700
-40.566252	0.126300
-40.558252	0.468100
-40.550252	-0.270400
-40.542252	0.150800
-40.534252	0.126300
-40.526252	-0.075100
-40.518252	0.095800
-40.510252	0.645200
-40.502252	0.175200
-40.494252	-0.520600
-40.486252	-0.618300
-40.478252	0.199600
