*Clock	1MHz							
*Name	ENDC	ENDP	ZERO	CH4	CCD	FD	SW	OSC
30000	-100	-100	0	0	0	3	0	0
10000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
10000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
10000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
10000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
10000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
10000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
10000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
10000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
10000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
10000	-100	-100	0	0	0	3	0	0
* 2 s
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
10000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
10000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
10000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
10000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
10000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
10000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
10000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
30000	-100	-100	0	0	0	3	0	0
