Tempo (us) 	 Tensione (V)
-91.027521	0.000800
-91.011521	0.000555
-90.995521	-0.000909
-90.979521	-0.001795
-90.963521	-0.000055
-90.947521	0.001929
-90.931521	0.000311
-90.915521	-0.003656
-90.899521	0.000800
-90.883521	-0.000421
-90.867521	0.001318
-90.851521	-0.000177
-90.835521	-0.001062
-90.819521	-0.001306
-90.803521	-0.002405
-90.787521	-0.000299
-90.771521	-0.000909
-90.755521	0.000067
-90.739521	-0.002283
-90.723521	-0.000299
-90.707521	0.001196
-90.691521	-0.002283
-90.675521	-0.000299
-90.659521	-0.001306
-90.643521	-0.001184
-90.627521	-0.002405
-90.611521	-0.003412
-90.595521	-0.001184
-90.579521	-0.002527
-90.563521	-0.003900
-90.547521	-0.001795
-90.531521	0.001074
-90.515521	0.001196
-90.499521	-0.000299
-90.483521	-0.001428
-90.467521	-0.001428
-90.451521	-0.001306
-90.435521	-0.004022
-90.419521	-0.002649
-90.403521	-0.000665
-90.387521	-0.000299
-90.371521	0.000189
-90.355521	0.001196
-90.339521	-0.003046
-90.323521	0.002051
-90.307521	0.001685
-90.291521	-0.002649
-90.275521	0.000311
-90.259521	-0.001428
-90.243521	-0.000299
-90.227521	0.000952
-90.211521	-0.002039
-90.195521	-0.001184
-90.179521	-0.000055
-90.163521	-0.001306
-90.147521	-0.003046
-90.131521	-0.000787
-90.115521	0.000067
-90.099521	-0.001062
-90.083521	-0.002161
-90.067521	-0.000665
-90.051521	-0.001184
-90.035521	-0.000665
-90.019521	0.000952
-90.003521	0.000555
-89.987521	-0.000299
-89.971521	-0.003046
-89.955521	-0.002283
-89.939521	-0.002405
-89.923521	0.001929
-89.907521	-0.000543
-89.891521	-0.001306
-89.875521	-0.003046
-89.859521	-0.001917
-89.843521	-0.000787
-89.827521	-0.001306
-89.811521	-0.001917
-89.795521	0.000555
-89.779521	-0.000787
-89.763521	-0.001795
-89.747521	0.000800
-89.731521	-0.000543
-89.715521	-0.001184
-89.699521	-0.000787
-89.683521	-0.002649
-89.667521	-0.001428
-89.651521	0.001562
-89.635521	-0.003290
-89.619521	-0.000909
-89.603521	0.001562
-89.587521	-0.001184
-89.571521	-0.001672
-89.555521	-0.002649
-89.539521	-0.001306
-89.523521	-0.001428
-89.507521	0.000952
-89.491521	-0.002527
-89.475521	-0.002161
-89.459521	0.000067
-89.443521	-0.000543
-89.427521	-0.001306
-89.411521	0.002417
-89.395521	-0.003900
-89.379521	-0.000421
-89.363521	-0.001428
-89.347521	-0.005274
-89.331521	-0.004511
-89.315521	-0.002161
-89.299521	-0.000421
-89.283521	-0.001550
-89.267521	-0.000543
-89.251521	-0.000177
-89.235521	0.001074
-89.219521	0.000067
-89.203521	-0.000299
-89.187521	-0.001062
-89.171521	-0.003168
-89.155521	-0.001917
-89.139521	-0.004389
-89.123521	0.001562
-89.107521	-0.000299
-89.091521	0.000189
-89.075521	-0.002527
-89.059521	-0.001184
-89.043521	0.000433
-89.027521	0.001440
-89.011521	-0.002771
-88.995521	0.000677
-88.979521	-0.002893
-88.963521	-0.003412
-88.947521	0.000311
-88.931521	0.005530
-88.915521	-0.000787
-88.899521	0.001807
-88.883521	0.000677
-88.867521	-0.000909
-88.851521	-0.002039
-88.835521	-0.000543
-88.819521	-0.001550
-88.803521	-0.000909
-88.787521	0.000189
-88.771521	0.000433
-88.755521	-0.002649
-88.739521	0.000311
-88.723521	-0.000909
-88.707521	-0.002405
-88.691521	0.001196
-88.675521	0.000433
-88.659521	-0.000177
-88.643521	-0.002527
-88.627521	0.001196
-88.611521	-0.001184
-88.595521	-0.001306
-88.579521	-0.001917
-88.563521	0.000311
-88.547521	-0.001428
-88.531521	-0.001672
-88.515521	0.003180
-88.499521	0.001318
-88.483521	0.001929
-88.467521	-0.001428
-88.451521	0.000555
-88.435521	0.000067
-88.419521	-0.003412
-88.403521	0.001807
-88.387521	0.002295
-88.371521	-0.001306
-88.355521	0.000952
-88.339521	0.000189
-88.323521	0.000189
-88.307521	0.000067
-88.291521	0.000555
-88.275521	-0.003412
-88.259521	-0.000421
-88.243521	-0.002405
-88.227521	0.000952
-88.211521	-0.002893
